# ARGUMENTS FOR TRAINING
# path_for_training_data: ../pdb_pt
# path_for_data_files: ../data_files
# path_for_outputs: ../train_output
# previous_checkpoint: 
# num_epochs: 300
# save_model_every_n_epochs: 10
# reload_data_every_n_epochs: 2
# num_examples_per_epoch: 5000
# batch_size: 3000
# max_protein_length: 5000
# hidden_dim: 128
# num_encoder_layers: 3
# num_decoder_layers: 3
# num_neighbors: 48
# dropout: 0.1
# backbone_noise: 0.2
# rescut: 3.5
# debug: False
# gradient_norm: -1.0
# mixed_precision: True
# rerun: True
# suffix: 
Epoch	Train	Validation
epoch: 52, step: 28472, time: 157.5, train: 5.533, valid: 5.004, train_acc: 0.464, valid_acc: 0.495
epoch: 53, step: 29020, time: 162.7, train: 5.537, valid: 4.956, train_acc: 0.464, valid_acc: 0.498
epoch: 54, step: 29568, time: 157.5, train: 5.510, valid: 4.970, train_acc: 0.466, valid_acc: 0.495
epoch: 55, step: 30117, time: 164.6, train: 5.511, valid: 4.988, train_acc: 0.466, valid_acc: 0.495
epoch: 56, step: 30666, time: 157.5, train: 5.484, valid: 4.936, train_acc: 0.467, valid_acc: 0.499
epoch: 57, step: 31214, time: 162.3, train: 5.488, valid: 4.971, train_acc: 0.467, valid_acc: 0.497
epoch: 58, step: 31762, time: 157.3, train: 5.465, valid: 4.968, train_acc: 0.468, valid_acc: 0.496
epoch: 59, step: 32310, time: 164.4, train: 5.466, valid: 4.974, train_acc: 0.469, valid_acc: 0.496
epoch: 60, step: 32858, time: 157.3, train: 5.434, valid: 4.968, train_acc: 0.470, valid_acc: 0.497
epoch: 61, step: 33402, time: 163.3, train: 5.505, valid: 4.906, train_acc: 0.467, valid_acc: 0.502
epoch: 62, step: 33946, time: 156.2, train: 5.467, valid: 4.926, train_acc: 0.468, valid_acc: 0.499
epoch: 63, step: 34490, time: 161.1, train: 5.472, valid: 4.952, train_acc: 0.468, valid_acc: 0.497
epoch: 64, step: 35034, time: 156.1, train: 5.449, valid: 4.922, train_acc: 0.469, valid_acc: 0.499
epoch: 65, step: 35577, time: 163.0, train: 5.444, valid: 4.936, train_acc: 0.470, valid_acc: 0.498
epoch: 66, step: 36120, time: 156.1, train: 5.417, valid: 4.917, train_acc: 0.472, valid_acc: 0.499
epoch: 67, step: 36663, time: 163.4, train: 5.416, valid: 4.917, train_acc: 0.471, valid_acc: 0.501
epoch: 68, step: 37206, time: 156.1, train: 5.390, valid: 4.925, train_acc: 0.472, valid_acc: 0.498
epoch: 69, step: 37749, time: 161.2, train: 5.401, valid: 4.885, train_acc: 0.472, valid_acc: 0.502
epoch: 70, step: 38292, time: 156.1, train: 5.373, valid: 4.894, train_acc: 0.474, valid_acc: 0.502
epoch: 71, step: 38835, time: 163.4, train: 5.379, valid: 4.909, train_acc: 0.473, valid_acc: 0.501
epoch: 72, step: 39378, time: 156.0, train: 5.361, valid: 4.888, train_acc: 0.475, valid_acc: 0.503
epoch: 73, step: 39924, time: 162.0, train: 5.407, valid: 4.893, train_acc: 0.472, valid_acc: 0.503
epoch: 74, step: 40470, time: 156.8, train: 5.379, valid: 4.887, train_acc: 0.473, valid_acc: 0.502
epoch: 75, step: 41016, time: 164.1, train: 5.364, valid: 4.854, train_acc: 0.474, valid_acc: 0.504
epoch: 76, step: 41562, time: 156.8, train: 5.340, valid: 4.883, train_acc: 0.476, valid_acc: 0.500
epoch: 77, step: 42108, time: 162.1, train: 5.354, valid: 4.857, train_acc: 0.475, valid_acc: 0.504
epoch: 78, step: 42654, time: 156.9, train: 5.332, valid: 4.866, train_acc: 0.476, valid_acc: 0.503
epoch: 79, step: 43200, time: 164.1, train: 5.330, valid: 4.881, train_acc: 0.475, valid_acc: 0.502
epoch: 80, step: 43746, time: 156.8, train: 5.309, valid: 4.894, train_acc: 0.477, valid_acc: 0.502
epoch: 81, step: 44293, time: 162.2, train: 5.297, valid: 4.830, train_acc: 0.478, valid_acc: 0.505
epoch: 82, step: 44840, time: 157.0, train: 5.276, valid: 4.860, train_acc: 0.480, valid_acc: 0.504
epoch: 83, step: 45386, time: 164.4, train: 5.289, valid: 4.857, train_acc: 0.479, valid_acc: 0.505
epoch: 84, step: 45932, time: 156.9, train: 5.268, valid: 4.856, train_acc: 0.480, valid_acc: 0.503
epoch: 85, step: 46481, time: 162.7, train: 5.348, valid: 4.841, train_acc: 0.475, valid_acc: 0.505
epoch: 86, step: 47030, time: 157.7, train: 5.313, valid: 4.839, train_acc: 0.478, valid_acc: 0.505
epoch: 87, step: 47579, time: 165.3, train: 5.309, valid: 4.846, train_acc: 0.478, valid_acc: 0.505
epoch: 88, step: 48128, time: 157.8, train: 5.285, valid: 4.841, train_acc: 0.479, valid_acc: 0.505
epoch: 89, step: 48677, time: 162.9, train: 5.305, valid: 4.809, train_acc: 0.478, valid_acc: 0.506
epoch: 90, step: 49226, time: 157.7, train: 5.287, valid: 4.809, train_acc: 0.478, valid_acc: 0.507
epoch: 91, step: 49775, time: 165.1, train: 5.279, valid: 4.786, train_acc: 0.479, valid_acc: 0.510
epoch: 92, step: 50324, time: 157.7, train: 5.262, valid: 4.787, train_acc: 0.480, valid_acc: 0.508
epoch: 93, step: 50873, time: 162.8, train: 5.260, valid: 4.803, train_acc: 0.480, valid_acc: 0.509
epoch: 94, step: 51422, time: 157.7, train: 5.241, valid: 4.807, train_acc: 0.481, valid_acc: 0.507
epoch: 95, step: 51971, time: 164.6, train: 5.240, valid: 4.798, train_acc: 0.481, valid_acc: 0.507
epoch: 96, step: 52520, time: 157.6, train: 5.223, valid: 4.805, train_acc: 0.482, valid_acc: 0.506
epoch: 97, step: 53067, time: 164.4, train: 5.300, valid: 4.756, train_acc: 0.478, valid_acc: 0.511
epoch: 98, step: 53614, time: 157.0, train: 5.266, valid: 4.758, train_acc: 0.480, valid_acc: 0.510
epoch: 99, step: 54161, time: 161.9, train: 5.261, valid: 4.777, train_acc: 0.480, valid_acc: 0.510
epoch: 100, step: 54708, time: 156.8, train: 5.238, valid: 4.762, train_acc: 0.481, valid_acc: 0.510
epoch: 101, step: 55254, time: 164.0, train: 5.243, valid: 4.742, train_acc: 0.481, valid_acc: 0.510
epoch: 102, step: 55800, time: 156.8, train: 5.226, valid: 4.742, train_acc: 0.482, valid_acc: 0.511
epoch: 103, step: 56346, time: 164.4, train: 5.222, valid: 4.831, train_acc: 0.482, valid_acc: 0.506
epoch: 104, step: 56892, time: 156.8, train: 5.210, valid: 4.800, train_acc: 0.483, valid_acc: 0.509
epoch: 105, step: 57438, time: 161.7, train: 5.202, valid: 4.765, train_acc: 0.484, valid_acc: 0.510
epoch: 106, step: 57984, time: 156.7, train: 5.183, valid: 4.751, train_acc: 0.484, valid_acc: 0.512
epoch: 107, step: 58530, time: 164.2, train: 5.206, valid: 4.733, train_acc: 0.483, valid_acc: 0.513
epoch: 108, step: 59076, time: 156.7, train: 5.183, valid: 4.768, train_acc: 0.485, valid_acc: 0.509
epoch: 109, step: 59619, time: 161.1, train: 5.237, valid: 4.792, train_acc: 0.482, valid_acc: 0.508
epoch: 110, step: 60162, time: 156.0, train: 5.217, valid: 4.753, train_acc: 0.483, valid_acc: 0.511
epoch: 111, step: 60705, time: 163.3, train: 5.220, valid: 4.757, train_acc: 0.483, valid_acc: 0.510
epoch: 112, step: 61248, time: 156.0, train: 5.199, valid: 4.751, train_acc: 0.484, valid_acc: 0.511
epoch: 113, step: 61791, time: 160.8, train: 5.211, valid: 4.755, train_acc: 0.483, valid_acc: 0.511
epoch: 114, step: 62334, time: 155.9, train: 5.199, valid: 4.760, train_acc: 0.484, valid_acc: 0.511
epoch: 115, step: 62877, time: 163.0, train: 5.186, valid: 4.749, train_acc: 0.485, valid_acc: 0.511
epoch: 116, step: 63420, time: 155.9, train: 5.166, valid: 4.752, train_acc: 0.486, valid_acc: 0.512
epoch: 117, step: 63963, time: 163.7, train: 5.177, valid: 4.771, train_acc: 0.485, valid_acc: 0.509
epoch: 118, step: 64506, time: 155.9, train: 5.163, valid: 4.735, train_acc: 0.486, valid_acc: 0.512
epoch: 119, step: 65049, time: 160.9, train: 5.168, valid: 4.765, train_acc: 0.485, valid_acc: 0.509
epoch: 120, step: 65592, time: 155.8, train: 5.148, valid: 4.727, train_acc: 0.487, valid_acc: 0.512
epoch: 121, step: 66139, time: 161.9, train: 5.185, valid: 4.749, train_acc: 0.484, valid_acc: 0.511
epoch: 122, step: 66686, time: 156.9, train: 5.160, valid: 4.747, train_acc: 0.486, valid_acc: 0.509
epoch: 123, step: 67233, time: 163.9, train: 5.155, valid: 4.752, train_acc: 0.487, valid_acc: 0.511
